=============================================================== 

as [A] =           2.71500 
ag [A] =           2.83000 
al [A] =           2.86833 
skl [eV/A/A] =          2.15025 
skd [eV/A/A] =          1.07513 
mu [A] =           0.04236 
D [1/s]=        5.19588E+12 
E [eV] =            0.53000 
gamma [eV] =         0.40000 
nx=    500 
ny=    80 
nsurf= 32 
irange_min = 10 
irange_max = 10 
time_fluence [s] =           8.000 
time_simulation [s] =         100.000 
k_max_step= 8 
f_deposition [ML/s]=           0.080 
temperature [K] =             600 
================================================================ 

iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    106000        0.294747     312        0.9971   (       242.0)         0.669
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    107000        0.298062     318        0.9971   (       244.2)         0.676
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    108000        0.302270     325        0.9970   (       246.4)         0.711
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    109000        0.305662     326        0.9970   (       248.5)         0.666
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    110000        0.310020     333        0.9970   (       250.7)         0.646
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    111000        0.313069     335        0.9970   (       252.9)         0.672
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    112000        0.316341     338        0.9969   (       255.1)         0.636
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    113000        0.319932     349        0.9969   (       257.3)         0.573
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    114000        0.322440     353        0.9969   (       259.5)         0.632
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    115000        0.325166     358        0.9968   (       261.7)         0.610
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    116000        0.327909     366        0.9968   (       263.8)         0.739
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    117000        0.330361     371        0.9968   (       266.0)         0.681
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    118000        0.334147     373        0.9968   (       268.2)         0.757
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    119000        0.336776     378        0.9968   (       270.4)         0.531
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    120000        0.339166     381        0.9968   (       272.6)         0.553
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    121000        0.341179     385        0.9968   (       274.8)         0.542
